,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
254,Mönichkirchen-​Mariensee,Austria,1450.0,870.0,35.0,5.0,6,2.0,13,Yes,No,3.0,3,0.0,6,6741.0,80.0
255,Grächen,Switzerland,2864.0,1619.0,48.0,9.0,31,2.0,42,No,No,9.0,5,1.0,15,13860.0,0.0
256,Puigmal,France,2700.0,1830.0,0.0,9.0,15,7.0,32,No,No,11.0,2,0.0,13,11865.0,0.0
257,Kranzberg-Mittenwald,Germany,1350.0,980.0,29.0,6.0,7,2.0,15,Yes,Yes,9.0,1,0.0,10,5850.0,8.0
258,Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,1530.0,1000.0,43.0,15.0,5,3.0,23,Yes,No,6.0,4,0.0,10,5425.0,33.0
259,Stuhleck-Spital am Semmering,Austria,1774.0,777.0,42.0,18.0,6,0.0,24,Yes,Yes,7.0,2,0.0,9,14400.0,240.0
260,Glacier 3000 / Les Diablerets,Switzerland,3016.0,,54.0,9.0,3,12.0,25,Yes,No,4.0,3,3.0,10,10260.0,0.0
261,Rossfeld - Berchtesgaden - Oberau,Germany,1554.0,1300.0,20.0,7.0,1,0.0,8,Yes,Yes,4.0,0,0.0,4,3229.0,0.0
262,Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226.0,1200.0,50.0,104.0,70,26.0,200,Yes,Yes,17.0,27,8.0,52,82641.0,793.0
263,Tignes - ​Val d'Isère,France,3456.0,1550.0,56.0,170.0,78,52.0,300,Yes,No,33.0,42,11.0,86,145461.0,848.0
264,Livigno – Carosello/​Mottolino,Italy,2798.0,1816.0,46.0,30.0,65,20.0,115,Yes,Yes,25.0,13,6.0,44,50850.0,0.0
265,Courchevel (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216,72.0,600,Yes,Yes,62.0,63,40.0,165,250860.0,2383.0
266,Les Gets (Les Portes du Soleil),France,2466.0,1000.0,51.0,310.0,210,60.0,580,Yes,Yes,89.0,74,11.0,174,252280.0,1074.0
267,Avoriaz (Les Portes du Soleil),France,2466.0,1000.0,,310.0,210,60.0,580,Yes,Yes,89.0,74,11.0,174,252280.0,1074.0
268,Châtel (Les Portes du Soleil),France,2466.0,1000.0,,310.0,210,60.0,580,Yes,Yes,89.0,74,11.0,174,252280.0,1074.0
269,Kitzbühel / Kirchberg (KitzSki),Austria,2000.0,800.0,55.0,101.0,61,17.0,179,Yes,Yes,15.0,28,11.0,54,92510.0,1102.0
270,Obergurgl-Hochgurgl,Austria,3082.0,1793.0,50.0,35.0,55,20.0,110,Yes,Yes,13.0,7,8.0,28,38861.0,320.0
271,Hafjell,Norway,1030.0,195.0,45.0,33.0,7,4.0,44,Yes,Yes,14.0,3,1.0,18,21060.0,150.0
272,Voss,Norway,960.0,284.0,43.0,25.0,4,11.0,40,Yes,No,7.0,4,0.0,11,11900.0,40.0
273,Kaunertal Glacier (Kaunertaler Gletscher),Austria,3108.0,2180.0,43.0,14.0,4,2.0,21,No,No,6.0,2,1.0,9,13200.0,0.0
274,Geilosiden Geilo,Norway,1178.0,800.0,44.0,18.0,12,4.0,34,Yes,Yes,18.0,6,0.0,24,14225.0,100.0
275,Ski Juwel Alpbachtal Wildschönau,Austria,2025.0,830.0,46.0,25.0,53,13.0,93,Yes,Yes,,7,8.0,47,52789.0,294.0
276,Reither Kogel-Reith im Alpbachtal,Austria,1280.0,670.0,46.0,1.0,3,0.0,4,No,Yes,4.0,0,1.0,5,4070.0,0.0
277,Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,1957.0,620.0,49.0,122.0,129,33.0,284,Yes,Yes,54.0,35,16.0,105,147250.0,1700.0
278,Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,1957.0,620.0,49.0,122.0,129,33.0,284,Yes,Yes,54.0,35,16.0,105,147250.0,1700.0
279,Söll (SkiWelt Wilder Kaiser-Brixental),Austria,1957.0,620.0,49.0,122.0,129,33.0,284,Yes,Yes,54.0,35,16.0,105,147250.0,1700.0
280,Kitzsteinhorn - Kaprun,Austria,3029.0,1978.0,50.0,13.0,25,3.0,41,Yes,No,5.0,5,7.0,17,33598.0,105.0
281,Saint Martin de Belleville (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216,72.0,600,Yes,Yes,62.0,63,40.0,165,250860.0,2383.0
282,La Plagne (Paradiski),France,3167.0,1207.0,50.0,139.0,59,27.0,225,Yes,No,56.0,32,12.0,100,136733.0,417.0
283,Schladming (4-Berge-Skischauke),Austria,2015.0,745.0,52.0,46.0,68,8.0,123,Yes,Yes,16.0,20,10.0,46,71842.0,600.0
284,Alpe d'Huez,France,3330.0,1125.0,51.0,70.0,130,50.0,250,Yes,Yes,27.0,21,20.0,68,92097.0,963.0
285,Formigal,Spain,2251.0,1501.0,44.0,47.0,70,20.0,137,Yes,No,9.0,11,0.0,20,29450.0,440.0
286,Axamer Lizum,Austria,2340.0,1580.0,38.0,7.0,21,2.0,30,Yes,No,3.0,6,1.0,10,13322.0,0.0
287,Bansko,Bulgaria,2560.0,990.0,30.0,20.0,24,3.0,48,Yes,Yes,7.0,8,2.0,17,24233.0,380.0
288,Baqueira / ​Beret,Spain,2510.0,1471.0,50.0,79.0,52,19.0,150,Yes,No,14.0,19,2.0,35,53997.0,629.0
289,Hochkönig-Maria Alm/​Dienten/​Mühlbach,Austria,1900.0,800.0,52.0,52.0,41,19.0,112,Yes,Yes,21.0,9,5.0,35,49232.0,520.0
290,Bonneval sur Arc,France,3000.0,1850.0,28.0,13.0,11,1.0,25,No,No,8.0,3,0.0,11,8213.0,0.0
291,Brauneck Lenggries ​Wegscheid,Germany,1712.0,700.0,35.0,8.0,22,4.0,34,No,Yes,16.0,4,1.0,21,19100.0,0.0
292,Brunni - Engelberg,Switzerland,2040.0,1050.0,38.0,2.0,3,2.0,7,No,No,3.0,1,1.0,5,2577.0,0.0
293,Madonna di Campiglio-​Pinzolo-​Folgàrida-​Marilleva,Italy,2504.0,770.0,50.0,60.0,68,22.0,150,Yes,Yes,14.0,34,17.0,65,,0.0
294,Le Lys - Cauterets,France,1360.0,932.0,37.0,21.0,12,3.0,36,Yes,No,6.0,4,1.0,11,13038.0,0.0
295,Pont d'Espagne - Cauterets,France,1756.0,1516.0,35.0,3.0,1,0.0,4,No,No,2.0,1,1.0,4,4150.0,0.0
296,Cervinia,Switzerland,3899.0,1562.0,81.0,75.0,220,27.0,322,Yes,No,21.0,22,20.0,63,93464.0,1060.0
297,Grands Montets-Argentière (Chamonix),France,3275.0,1252.0,62.0,6.0,9,14.0,29,Yes,No,1.0,4,4.0,9,15756.0,0.0
298,Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270.0,1453.0,51.0,13.0,16,0.0,29,Yes,No,8.0,2,,12,14860.0,0.0
299,Crans-Montana,Switzerland,1510.0,540.0,60.0,55.0,70,15.0,140,Yes,No,12.0,6,5.0,23,29500.0,0.0
300,Rinerhorn (Davos Klosters),Switzerland,2490.0,1454.0,48.0,10.0,22,8.0,40,Yes,No,6.0,0,1.0,7,6900.0,14.0
301,Jakobshorn (Davos Klosters),Switzerland,2590.0,1540.0,58.0,25.0,13,2.0,41,Yes,No,5.0,5,3.0,13,15800.0,140.0
302,Pischa (Davos Klosters),Switzerland,2483.0,1800.0,40.0,0.0,0,0.0,0,No,No,0.0,0,1.0,1,800.0,0.0
303,Madrisa (Davos Klosters),Switzerland,2611.0,1142.0,52.0,6.0,9,9.0,26,Yes,No,7.0,2,1.0,10,6640.0,9.0
304,Cortina d'Ampezzo,Italy,2924.0,1224.0,52.0,45.0,55,20.0,120,Yes,No,8.0,26,6.0,40,48089.0,130.0
305,St. Moritz - Corviglia,Switzerland,3057.0,1720.0,69.0,42.0,79,34.0,155,Yes,No,11.0,12,5.0,28,31220.0,170.0
306,Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069.0,1000.0,40.0,132.0,49,11.0,192,Yes,Yes,53.0,30,0.0,83,90852.0,472.0
307,Fonna Glacier,Norway,1460.0,1200.0,42.0,2.0,2,0.0,5,Yes,No,1.0,0,0.0,1,,0.0
308,Galtür,Austria,2300.0,1600.0,40.0,6.0,25,12.0,43,Yes,Yes,9.0,2,2.0,13,15442.0,133.0
309,Glencoe Mountain,United Kingdom,1070.0,360.0,35.0,7.0,10,7.0,24,No,No,6.0,2,0.0,8,5800.0,0.0
310,Golm,Austria,2110.0,650.0,48.0,13.0,12,1.0,26,No,No,4.0,4,3.0,11,16240.0,123.0
311,Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,2640.0,1710.0,47.0,100.0,77,33.0,210,Yes,Yes,37.0,28,7.0,72,99017.0,1032.0
312,El Tarter – Pas de la Casa/​Grau Roig/​Soldeu/​Canillo/​Encamp (Grandvalira),Andorra,2640.0,1710.0,47.0,100.0,77,33.0,210,Yes,Yes,37.0,28,7.0,72,99017.0,1032.0
313,Gresse en Vercors,France,1751.0,1245.0,19.0,8.0,7,5.0,20,Yes,No,10.0,1,0.0,11,6808.0,51.0
314,Wasserngrat (Gstaad),Switzerland,1900.0,1275.0,54.0,3.0,3,2.0,9,No,No,0.0,1,0.0,1,900.0,0.0
315,Wispile (Gstaad),Switzerland,1941.0,1046.0,54.0,3.0,3,1.0,8,No,Yes,3.0,0,2.0,5,3601.0,0.0
316,Heiti - Gsteig (Gstaad),Switzerland,1370.0,1227.0,54.0,0.0,0,0.0,1,No,No,1.0,0,0.0,1,600.0,0.0
317,Arosa Lenzerheide,Switzerland,2865.0,1229.0,63.0,111.0,87,27.0,225,Yes,Yes,24.0,18,8.0,50,63936.0,0.0
318,Villars -​ Gryon / Les Diablerets,Switzerland,2120.0,1224.0,54.0,51.0,45,4.0,100,Yes,No,20.0,9,4.0,33,38905.0,0.0
319,Verbier (4 Vallées),Switzerland,3330.0,821.0,66.0,107.0,202,103.0,412,Yes,Yes,39.0,17,19.0,75,85022.0,0.0
320,Nendaz (4 Vallées),Switzerland,3330.0,821.0,66.0,107.0,202,103.0,412,Yes,Yes,39.0,17,19.0,75,85022.0,0.0
321,Thyon (4 Vallées),Switzerland,3330.0,821.0,66.0,107.0,202,103.0,412,Yes,Yes,39.0,17,19.0,75,85022.0,0.0
322,Veysonnaz (4 Vallées),Switzerland,3330.0,821.0,66.0,107.0,202,103.0,412,Yes,Yes,39.0,17,19.0,75,85022.0,0.0
323,Ischgl,Austria,2872.0,1377.0,52.0,47.0,142,49.0,238,Yes,No,13.0,25,7.0,45,88215.0,1200.0
324,Kleine Scheidegg / ​Männlichen-Grindelwald / ​Wengen,Switzerland,2320.0,944.0,55.0,33.0,56,13.0,102,No,No,10.0,10,6.0,26,29250.0,0.0
325,Kranjska Gora,Slovenia,1215.0,800.0,33.0,10.0,8,2.0,20,Yes,Yes,15.0,5,0.0,20,17774.0,0.0
326,Kuühtai,Austria,2520.0,1938.0,37.0,6.0,26,8.0,41,Yes,Yes,6.0,5,1.0,12,17254.0,80.0
327,La Grave - La Meije,France,3534.0,1470.0,49.0,3.0,0,0.0,3,No,No,1.0,0,2.0,3,1460.0,0.0
328,Espace San Bernardo – La Rosière/​La Thuile,France,2641.0,1176.0,43.0,55.0,83,22.0,160,Yes,No,21.0,18,1.0,40,53669.0,0.0
329,La Thuile / La Rosière - Espace San Bernardo,Italy,2641.0,1176.0,43.0,55.0,83,22.0,160,Yes,No,21.0,18,1.0,40,53669.0,0.0
330,La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216,72.0,600,Yes,Yes,62.0,63,40.0,165,250860.0,2383.0
331,The Lecht,United Kingdom,775.0,637.0,33.0,5.0,9,4.0,18,Yes,Yes,12.0,1,0.0,13,9750.0,0.0
332,Les Deux alpes,France,3560.0,1280.0,49.0,110.0,56,34.0,200,Yes,Yes,26.0,21,7.0,54,72334.0,224.0
333,Les Contamines-​Hauteluce,France,2437.0,1164.0,39.0,40.0,60,20.0,120,No,Yes,12.0,8,4.0,24,33972.0,0.0
334,Les Orres,France,2720.0,1550.0,35.0,30.0,60,10.0,100,Yes,No,11.0,9,0.0,20,21020.0,190.0
335,Courmayeur / Chécrouit -​ Val Veny,Italy,2755.0,,46.0,16.0,21,4.0,41,Yes,No,4.0,8,6.0,18,24497.0,280.0
336,Zermatt - Matterhorn,Switzerland,3899.0,1562.0,81.0,75.0,220,27.0,322,Yes,No,21.0,22,20.0,63,93464.0,1060.0
337,Mayrhofen-Penken/​Ahorn/​Rastkogel/​Eggalm,Austria,2500.0,630.0,52.0,40.0,66,30.0,136,Yes,No,31.0,17,9.0,57,82432.0,286.0
338,Nevis Range,United Kingdom,655.0,91.0,36.0,7.0,10,3.0,20,No,No,8.0,3,1.0,12,10350.0,0.0
339,Obertauern,Austria,2313.0,1630.0,46.0,61.0,35,4.0,100,Yes,Yes,11.0,18,2.0,31,50797.0,280.0
340,Levi,Finland,531.0,206.0,43.0,15.0,19,2.0,37,Yes,Yes,25.0,2,2.0,29,30110.0,267.0
341,Ruka,Finland,492.0,291.0,43.0,9.0,7,2.0,18,Yes,Yes,17.0,5,0.0,22,22915.0,70.0
342,Hedelands Skicenter,Denmark,,33.0,,,0,,0,No,No,0.0,0,0.0,0,,
343,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2096.0,830.0,,140.0,112,18.0,270,Yes,Yes,21.0,22,28.0,71,135104.0,927.0
344,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2096.0,830.0,53.0,140.0,112,18.0,270,Yes,Yes,21.0,22,28.0,71,135104.0,927.0
345,Saas-Fee,Switzerland,3573.0,1800.0,63.0,20.0,60,20.0,100,Yes,No,14.0,2,9.0,25,25160.0,102.0
346,Sainte-Foy-Tarentaise,France,2620.0,1550.0,31.0,10.0,25,6.0,41,No,No,2.0,4,0.0,6,7100.0,10.0
347,Val Senales Glacier,Italy,3212.0,2011.0,44.0,8.0,7,11.0,27,Yes,No,6.0,6,2.0,14,15838.0,0.0
348,Serfaus-Fiss-Ladis,Austria,2820.0,1200.0,49.0,47.0,123,28.0,198,Yes,Yes,40.0,16,12.0,68,78460.0,1250.0
349,Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800.0,1200.0,49.0,138.0,80,32.0,250,Yes,Yes,33.0,21,7.0,61,72066.0,575.0
350,Sestriere ski resort (Via Lattea),Italy,2749.0,1372.0,48.0,96.0,220,84.0,400,No,Yes,29.0,35,7.0,71,96433.0,0.0
351,Silvretta Montafon,Austria,2430.0,700.0,53.0,60.0,45,8.0,113,Yes,No,25.0,18,10.0,53,67472.0,330.0
352,Wagrain (Ski amedé),Austria,1980.0,740.0,52.0,30.0,81,4.0,115,Yes,No,22.0,16,11.0,49,75398.0,600.0
353,Flachau (Ski amedé),Austria,1980.0,740.0,52.0,30.0,81,4.0,115,Yes,No,22.0,16,11.0,49,75398.0,600.0
354,Valchiavenna – Madesimo/​Campodolcino,Italy,1550.0,1082.0,39.0,13.0,28,5.0,48,Yes,Yes,1.0,9,3.0,13,26060.0,0.0
355,St. Anton (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123,51.0,304,Yes,No,53.0,45,15.0,113,145127.0,747.0
356,Lech (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123,51.0,304,Yes,No,53.0,45,15.0,113,145127.0,747.0
357,Zürs (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123,51.0,304,Yes,No,53.0,45,15.0,113,145127.0,747.0
358,St. Christoph (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123,51.0,304,Yes,No,53.0,45,15.0,113,145127.0,747.0
359,Sierra Nevada-Pradollano,Spain,3282.0,2100.0,47.0,50.0,49,7.0,107,Yes,Yes,5.0,14,2.0,21,59205.0,350.0
360,St. Johann in Tirol,Austria,1604.0,659.0,44.0,16.0,23,3.0,43,No,Yes,12.0,4,4.0,20,21100.0,260.0
361,Bad Gastein,Austria,2300.0,860.0,52.0,30.0,52,2.0,86,Yes,No,10.0,9,7.0,26,32699.0,800.0
362,Kronplatz (Plan de Corones),Italy,2275.0,973.0,54.0,52.0,42,25.0,119,Yes,Yes,6.0,5,21.0,32,71205.0,450.0
363,Gargellen,Austria,2300.0,1423.0,47.0,20.0,5,2.0,28,Yes,No,5.0,3,1.0,9,10650.0,83.0
364,Hochschwarzeck,Germany,1385.0,1030.0,22.0,4.0,0,0.0,4,No,No,3.0,1,0.0,4,2880.0,0.0
365,Arcalís-Ordino (Vallnord),Andorra,2625.0,1940.0,37.0,13.0,14,3.0,30,Yes,No,10.0,4,1.0,15,14240.0,106.0
366,Hemsedal,Norway,1450.0,620.0,46.0,29.0,10,4.0,44,Yes,Yes,15.0,6,0.0,21,22921.0,325.0
367,Sölden,Austria,3340.0,1350.0,53.0,70.0,44,29.0,144,Yes,Yes,12.0,16,8.0,36,70370.0,363.0
368,Stubai Glacier,Austria,3212.0,1697.0,46.0,19.0,15,4.0,38,Yes,No,14.0,7,5.0,26,39784.0,69.0
369,Elfer Neustift,Austria,2080.0,981.0,29.0,0.0,7,0.0,7,No,No,3.0,0,1.0,4,2980.0,0.0
370,Val Gardena,Italy,2518.0,1236.0,54.0,52.0,105,18.0,175,Yes,No,29.0,41,14.0,84,121914.0,630.0
371,Val Thorens (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216,72.0,600,Yes,Yes,62.0,63,40.0,165,250860.0,2383.0
372,Montgenèvre (Via Lattea),France,2749.0,1372.0,48.0,96.0,220,84.0,400,No,Yes,,35,7.0,71,96433.0,0.0
373,Sauze d’Oulx (Via Lattea),Italy,2749.0,1372.0,48.0,96.0,220,84.0,400,No,Yes,29.0,35,7.0,71,96433.0,0.0
374,Gressoney - La-Trinite (Monterosa Ski),Italy,3275.0,1212.0,43.0,23.0,94,15.0,132,Yes,No,9.0,9,12.0,30,31984.0,655.0
375,Champoluc (Monterosa Ski),Italy,3275.0,1212.0,43.0,23.0,94,15.0,132,Yes,No,9.0,9,12.0,30,31984.0,655.0
376,Zauchensee,Austria,2188.0,1000.0,52.0,23.0,16,4.0,44,Yes,No,9.0,6,4.0,19,25988.0,113.0
